dir,spd
340,2
50,1
50,1
20,1
20,3
290,2
20,1
50,1
50,2
50,2
20,1
50,2
50,2
50,2
20,2
50,3
50,4
20,3
50,3
50,4
340,2
50,3
20,5
340,3
340,2
360,3
340,4
340,1
360,2
20,2
20,3
340,1
20,2
20,2
20,2
20,1
20,4
20,3
20,5
360,4
20,2
20,2
360,2
50,1
20,2
360,1
110,1
110,2
110,2
110,1
50,4
20,1
340,1
20,4
340,3
340,6
340,2
20,1
20,2
20,2
20,2
360,3
50,2
70,3
20,3
50,3
20,3
360,4
20,4
50,3
20,2
50,2
50,1
50,3
90,1
140,1
140,1
90,1
70,2
50,4
50,5
20,3
50,4
50,3
50,4
50,4
50,2
160,1
20,6
360,2
340,2
50,2
20,1
110,1
110,1
50,2
110,1
110,1
140,2
20,3
340,2
340,2
50,2
110,1
90,1
110,1
110,2
160,1
140,2
140,1
110,1
160,1
50,3
20,1
110,1
110,1
140,1
110,1
110,1
110,1
110,1
110,1
140,1
160,2
160,1
160,1
110,1
50,4
20,3
20,2
20,2
140,1
140,1
110,1
110,2
140,1
110,1
160,1
20,5
140,1
110,2
140,2
140,1
160,1
140,2
180,1
160,3
140,3
140,2
110,1
50,3
20,4
340,5
340,3
140,1
140,1
110,1
110,1
160,1
140,2
110,2
140,1
160,1
140,1
110,1
110,1
110,1
140,1
160,2
160,1
250,3
290,3
290,3
140,1
180,1
160,1
110,1
180,1
110,2
110,1
110,1
110,1
90,1
110,1
110,1
110,2
140,1
290,1
290,2
290,2
290,3
290,1
290,2
290,3
290,3
290,3
270,4
270,2
290,4
200,1
270,3
290,3
340,2
140,1
140,2
290,3
290,3
320,3
290,3
290,3
290,1
290,3
290,3
290,3
290,2
160,1
290,2
320,4
290,2
290,2
320,3
200,1
270,2
270,2
320,3
290,3
360,1
320,1
140,1
160,1
230,1
290,3
320,2
290,4
230,1
110,1
140,2
110,1
110,2
20,4
200,3
140,3
110,1
110,1
160,1
110,1
140,1
140,1
110,1
160,1
110,1
140,1
20,2
20,1
140,1
110,1
110,1
20,2
20,3
340,2
360,2
270,4
290,3
20,2
140,3
160,2
50,1
340,1
200,5
110,1
140,1
110,1
160,1
20,3
20,2
20,2
20,3
20,2
20,2
20,3
20,2
20,2
20,1
20,2
20,2
20,2
20,3
20,2
20,1
20,3
20,2
20,4
20,1
20,4
20,3
20,3
20,3
20,4
20,5
20,4
20,4
20,3
20,4
20,2
20,3
50,2
360,2
20,4
20,4
20,4
20,4
20,3
70,1
70,1
70,3
110,1
140,3
110,1
70,2
110,1
110,1
50,1
20,2
20,3
50,1
20,6
50,6
70,5
50,3
20,3
50,4
20,2
50,4
20,4
20,4
20,3
20,4
20,3
20,4
20,4
20,3
20,3
20,5
360,1
20,4
20,3
20,3
20,3
50,1
50,2
20,3
20,4
50,3
50,2
360,1
50,2
20,2
20,2
50,4
50,5
20,4
50,2
360,4
340,2
20,2
20,3
50,4
20,3
20,3
20,2
20,3
20,1
20,1
20,2
20,3
20,5
20,4
20,5
20,4
20,4
20,6
20,4
20,4
20,4
20,6
20,5
360,3
340,2
20,3
20,2
20,3
20,2
20,2
20,2
20,3
50,1
110,1
140,2
110,1
140,4
90,1
110,1
110,1
110,1
110,2
110,1
110,1
70,1
110,1
110,1
110,1
110,1
180,3
180,5
160,6
110,1
110,1
50,3
20,2
20,1
90,1
70,2
110,2
140,3
140,4
160,2
140,2
70,2
20,2
20,4
20,3
140,3
140,3
140,4
110,3
110,2
140,4
140,5
160,5
160,3
20,3
20,4
20,4
20,4
20,3
20,3
20,3
20,2
20,2
20,3
110,1
160,1
160,1
180,3
20,2
20,1
160,1
140,2
160,6
160,4
110,2
20,2
20,3
20,2
20,2
20,3
20,2
50,1
110,1
110,1
20,2
20,3
320,3
20,3
20,2
160,3
110,1
110,1
140,3
140,4
160,4
160,2
290,4
290,4
290,3
160,2
140,3
160,2
160,3
160,2
160,3
200,2
110,1
160,1
160,2
200,4
160,2
160,3
160,2
160,2
160,2
160,1
160,1
160,1
160,1
160,2
140,3
140,1
140,2
110,3
50,2
20,3
110,2
140,2
140,2
160,2
290,3
290,3
320,2
290,6
290,4
290,4
290,3
290,2
140,1
290,3
290,3
290,2
160,1
180,1
180,3
290,3
290,6
290,5
290,5
180,1
290,2
160,1
160,3
160,3
160,3
160,3
140,3
140,4
160,3
160,2
160,2
140,4
160,2
160,1
180,1
180,3
340,1
320,3
360,1
340,3
290,3
270,1
290,2
290,3
290,4
250,1
290,4
290,4
290,4
290,3
320,3
290,1
180,1
290,3
180,2
180,1
180,2
140,1
140,2
180,2
20,2
20,1
20,1
20,1
50,1
20,1
20,2
20,2
20,2
140,2
140,1
290,2
270,1
140,1
160,1
160,1
140,1
140,1
160,1
180,1
20,1
50,2
50,1
360,1
250,1
70,1
340,2
320,3
340,1
290,8
250,4
200,4
110,3
320,3
290,3
140,2
160,3
70,3
50,1
50,2
70,1
70,3
70,3
20,3
110,5
70,4
50,4
50,4
20,3
360,1
50,4
50,4
70,4
50,3
70,3
70,3
20,4
110,3
70,3
70,3
70,5
50,4
70,5
50,3
50,3
50,3
320,4
70,3
20,1
50,2
70,3
320,3
320,1
70,3
70,3
50,4
360,5
360,5
70,8
320,6
340,4
20,5
20,3
20,3
70,4
50,3
20,3
20,3
50,3
70,4
50,2
70,3
70,3
50,4
70,3
50,2
50,2
70,3
70,3
50,3
70,2
20,1
70,2
50,2
70,2
50,2
50,1
110,2
50,2
70,3
50,2
70,3
50,2
340,2
360,3
20,3
50,3
340,1
340,1
360,1
20,1
50,1
50,1
20,2
340,1
340,1
20,1
20,1
20,1
140,1
140,1
140,1
140,1
160,1
160,1
70,1
20,2
20,3
20,3
180,1
180,1
160,3
20,1
50,2
20,2
160,1
160,3
160,2
140,2
20,3
20,1
50,2
360,5
320,2
320,1
340,1
20,2
160,1
140,2
140,4
140,2
20,2
20,1
340,1
20,2
20,1
160,1
50,1
160,1
20,1
340,1
20,2
160,1
140,1
140,1
140,1
140,1
20,3
20,1
50,1
160,1
140,1
110,1
140,1
180,1
180,1
160,1
140,1
180,1
140,2
160,1
160,1
140,1
110,1
160,1
160,1
110,3
140,2
140,1
140,1
140,1
140,3
320,2
110,1
140,1
160,1
160,1
160,1
180,1
140,1
140,1
140,2
320,3
140,1
140,1
